"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AggregatorHost","0","268","2203430850560","12308480","3375104","10664","C:\Windows\System32\AggregatorHost.exe","Microsoft Corporation","0.515625","10.0.22621.3672 (WinBuild.160101.0800)","10.0.22621.3672","Microsoft (R) Aggregator Host","Microsoft? Windows? Operating System","Process","8",,"False",,"6324","Microsoft.Win32.SafeHandles.SafeProcessHandle","268","3160",".","0","","System.Diagnostics.ProcessModule (AggregatorHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10664","10664","3375104","3375104","129952","129952","4919296","4919296","14618624","14618624","129712128","2203447934976","True","Normal","3375104","3375104","00:00:00.2031250","AggregatorHost","3","True","0","System.Diagnostics.ProcessStartInfo","22/10/2024 8:57:07 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5156250","00:00:00.3125000","112627712","2203430850560","False",,,,"12308480","12308480",,
"ApplicationFrameHost","1","386","2203725041664","37613568","12185600","22704","C:\Windows\system32\ApplicationFrameHost.exe","Microsoft Corporation","0.484375","10.0.22621.3672 (WinBuild.160101.0800)","10.0.22621.3672","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3272","Microsoft.Win32.SafeHandles.SafeProcessHandle","386","8352",".","328702","Settings","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22704","22704","12185600","12185600","645760","645760","17059840","17059840","49606656","49606656","437022720","2203755245568","True","Normal","12185600","12185600","00:00:00.2812500","ApplicationFrameHost","3","True","1","System.Diagnostics.ProcessStartInfo","22/10/2024 9:06:45 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4843750","00:00:00.2031250","406818816","2203725041664","False",,,,"37613568","37613568",,
"csrss","0","443","2203426353152","6328320","2408448","20720",,,"1.5",,,,,"Process","13",,,,,,"443","500",".","0","",,,,,"20720","20720","2408448","2408448","247520","247520","5718016","5718016","7356416","7356416","111149056","2203429371904",,,"2408448","2408448","00:00:01.0156250","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","22/10/2024 8:57:03 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.5000000","00:00:00.4843750","108130304","2203426353152","False",,,,"6328320","6328320",,
"csrss","1","352","2203478396928","53878784","6766592","20688",,,"2.5",,,,,"Process","13",,,,,,"352","584",".","0","",,,,,"20688","20688","6766592","6766592","298888","298888","24084480","24084480","61681664","61681664","176619520","2203494842368",,,"6766592","6766592","00:00:02.1875000","csrss",,"True","1","System.Diagnostics.ProcessStartInfo","22/10/2024 8:57:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.5000000","00:00:00.3125000","160174080","2203478396928","False",,,,"53878784","53878784",,
"ctfmon","1","534","2203581526016","27762688","7958528","19832","C:\Windows\system32\ctfmon.exe","Microsoft Corporation","4.203125","10.0.22621.4453 (WinBuild.160101.0800)","10.0.22621.4453","CTF Loader","Microsoft? Windows? Operating System","Process","13",,"False",,"3220","Microsoft.Win32.SafeHandles.SafeProcessHandle","534","6816",".","0","","System.Diagnostics.ProcessModule (ctfmon.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19832","19832","7958528","7958528","440032","440032","8077312","8077312","30420992","30420992","267374592","2203585597440","True","High","7958528","7958528","00:00:02.3906250","ctfmon","3","True","1","System.Diagnostics.ProcessStartInfo","22/10/2024 8:57:15 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.2031250","00:00:01.8125000","263303168","2203581526016","False",,,,"27762688","27762688",,
"dllhost","1","146","2203430256640","12320768","1839104","8696","C:\Windows\system32\DllHost.exe","Microsoft Corporation","0.21875","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"6232","Microsoft.Win32.SafeHandles.SafeProcessHandle","146","4628",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8696","8696","1839104","1839104","149536","149536","2510848","2510848","14991360","14991360","128806912","2203447029760","True","Normal","1839104","1839104","00:00:00.0937500","dllhost","3","True","1","System.Diagnostics.ProcessStartInfo","22/10/2024 9:30:28 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00.1250000","112033792","2203430256640","False",,,,"12320768","12320768",,
"dllhost","1","409","2203535294464","18817024","6258688","25016","C:\Windows\system32\DllHost.exe","Microsoft Corporation","0.59375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"3116","Microsoft.Win32.SafeHandles.SafeProcessHandle","409","6064",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25016","25016","6258688","6258688","248048","248048","7974912","7974912","21041152","21041152","222052352","2203540275200","True","Normal","6258688","6258688","00:00:00.3437500","dllhost","3","True","1","System.Diagnostics.ProcessStartInfo","22/10/2024 8:57:12 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5937500","00:00:00.2500000","217071616","2203535294464","False",,,,"18817024","18817024",,
"dwm","1","950","2203937525760","87670784","131125248","72456","C:\Windows\system32\dwm.exe","Microsoft Corporation","29.015625","10.0.22621.4453 (WinBuild.160101.0800)","10.0.22621.4453","Desktop Window Manager","Microsoft? Windows? Operating System","Process","13",,"False",,"5184","Microsoft.Win32.SafeHandles.SafeProcessHandle","950","1200",".","0","","System.Diagnostics.ProcessModule (dwm.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","72456","72456","131125248","131125248","1030104","1030104","174940160","174940160","209555456","209555456","654151680","2203972374528","True","High","131125248","131125248","00:00:12.6250000","dwm","3","True","1","System.Diagnostics.ProcessStartInfo","22/10/2024 8:57:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:29.0156250","00:00:16.3906250","619302912","2203937525760","False",,,,"87670784","87670784",,
"explorer","1","5300","2204632375296","394027008","223039488","174392","C:\Windows\Explorer.EXE","Microsoft Corporation","59.515625","10.0.22621.4453 (WinBuild.160101.0800)","10.0.22621.4453","Windows Explorer","Microsoft? Windows? Operating System","Process","8",,"False",,"7148","Microsoft.Win32.SafeHandles.SafeProcessHandle","5300","4612",".","591098","","System.Diagnostics.ProcessModule (Explorer.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","174392","174392","223039488","223039488","3200768","3200768","243585024","243585024","421732352","421732352","1415458816","2204733681664","True","Normal","223039488","223039488","00:00:27.1562500","explorer","3","True","1","System.Diagnostics.ProcessStartInfo","22/10/2024 8:57:08 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:59.5156250","00:00:32.3593750","1314152448","2204632375296","False",,,,"394027008","394027008",,
"fontdrvhost","0","41","2203396440064","3932160","1515520","6248","C:\Windows\system32\fontdrvhost.exe","Microsoft Corporation","0.0625","10.0.22621.4249 (WinBuild.160101.0800)","10.0.22621.4249","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"7100","Microsoft.Win32.SafeHandles.SafeProcessHandle","41","876",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","6248","6248","1515520","1515520","54440","54440","1630208","1630208","4399104","4399104","80248832","2203398471680","True","Normal","1515520","1515520","00:00:00.0468750","fontdrvhost","3","True","0","System.Diagnostics.ProcessStartInfo","22/10/2024 8:57:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0156250","78217216","2203396440064","False",,,,"3932160","3932160",,
"fontdrvhost","1","41","2203397562368","4956160","1781760","6520","C:\Windows\system32\fontdrvhost.exe","Microsoft Corporation","0.171875","10.0.22621.4249 (WinBuild.160101.0800)","10.0.22621.4249","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"5900","Microsoft.Win32.SafeHandles.SafeProcessHandle","41","884",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","6520","6520","1781760","1781760","56632","56632","1835008","1835008","5103616","5103616","80388096","2203398610944","True","Normal","1781760","1781760","00:00:00.1406250","fontdrvhost","3","True","1","System.Diagnostics.ProcessStartInfo","22/10/2024 8:57:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1718750","00:00:00.0312500","79339520","2203397562368","False",,,,"4956160","4956160",,
"Idle","0","0","4096","8192","57344","136",,,,,,,,"Process","0",,,,,,"0","0",".","0","",,,,,"136","136","57344","57344","0","0","57344","57344","8192","8192","4096","4096",,,"57344","57344",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"4096","4096","False",,,,"8192","8192",,
"lsass","0","1491","2203480719360","27021312","9928704","27456","C:\Windows\system32\lsass.exe","Microsoft Corporation","7.890625","10.0.22621.3235 (WinBuild.160101.0800)","10.0.22621.3235","Local Security Authority Process","Microsoft? Windows? Operating System","Process","9",,"False",,"6824","Microsoft.Win32.SafeHandles.SafeProcessHandle","1491","740",".","0","","System.Diagnostics.ProcessModule (lsass.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27456","27456","9928704","9928704","288600","288600","10530816","10530816","29208576","29208576","164429824","2203482652672","True","Normal","9928704","9928704","00:00:03.3906250","lsass","3","True","0","System.Diagnostics.ProcessStartInfo","22/10/2024 8:57:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:07.8906250","00:00:04.5000000","162496512","2203480719360","False",,,,"27021312","27021312",,
"Memory Compression","0","0","265814016","143396864","679936","0",,,"16.03125",,,,,"Process","8",,,,,,"0","1828",".","0","",,,,,"0","0","679936","679936","4352","4352","679936","679936","189612032","189612032","279969792","279969792",,,"679936","679936","00:00:16.0312500","Memory Compression",,"True","0","System.Diagnostics.ProcessStartInfo","22/10/2024 8:57:05 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:16.0312500","00:00:00","265814016","265814016","False",,,,"143396864","143396864",,
"MoUsoCoreWorker","0","513","2203537080320","38244352","8593408","22128","C:\Windows\uus\packages\preview\ARM64\MoUsoCoreWorker.exe","Microsoft Corporation","8.5","1308.2408.15032.0","1308.2408.15032.0","MoUSO Core Worker Process","Microsoft? Windows? Operating System","Process","8",,"False",,"5252","Microsoft.Win32.SafeHandles.SafeProcessHandle","513","2996",".","0","","System.Diagnostics.ProcessModule (MoUsoCoreWorker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22128","22128","8593408","8593408","354104","354104","16764928","16764928","51523584","51523584","283029504","2203601252352","True","Normal","8593408","8593408","00:00:04.2656250","MoUsoCoreWorker","3","True","0","System.Diagnostics.ProcessStartInfo","22/10/2024 8:57:23 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.5000000","00:00:04.2343750","218857472","2203537080320","False",,,,"38244352","38244352",,
"MpDefenderCoreService","0","480","2203499122688","21651456","8724480","16760",,,"0.78125",,,,,"Process","8",,,,,,"480","3120",".","0","",,,,,"16760","16760","8724480","8724480","260680","260680","9203712","9203712","26038272","26038272","182665216","2203500888064",,,"8724480","8724480","00:00:00.4375000","MpDefenderCoreService",,"True","0","System.Diagnostics.ProcessStartInfo","22/10/2024 8:57:06 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7812500","00:00:00.3437500","180899840","2203499122688","False",,,,"21651456","21651456",,
"msedge","1","152","2306853683200","19816448","8462336","9784","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0.140625","130.0.2849.46","130.0.2849.46","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"4080","Microsoft.Win32.SafeHandles.SafeProcessHandle","152","2540",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9784","9784","8462336","8462336","723512","723512","9523200","9523200","19861504","19861504","464633856","2306862071808","True","Normal","8462336","8462336","00:00:00.1093750","msedge","3","True","1","System.Diagnostics.ProcessStartInfo","22/10/2024 10:14:46 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","00:00:00.0312500","456245248","2306853683200","False",,,,"19816448","19816448",,
"msedge","1","1193","2341764427776","124235776","43855872","39792","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","3.3125","130.0.2849.46","130.0.2849.46","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"6220","Microsoft.Win32.SafeHandles.SafeProcessHandle","1193","4196",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","39792","39792","43855872","43855872","1267968","1267968","61247488","61247488","131272704","131272704","1188159488","2341945335808","True","Normal","43855872","43855872","00:00:02.2187500","msedge","3","True","1","System.Diagnostics.ProcessStartInfo","22/10/2024 10:14:44 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.3125000","00:00:01.0937500","1007251456","2341764427776","False",,,,"124235776","124235776",,
"msedge","1","145","2272222900224","10760192","2363392","9240","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0.015625","130.0.2849.46","130.0.2849.46","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"6212","Microsoft.Win32.SafeHandles.SafeProcessHandle","145","5068",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9240","9240","2363392","2363392","181176","181176","2527232","2527232","10903552","10903552","210366464","2272248066048","True","Normal","2363392","2363392","00:00:00.0156250","msedge","3","True","1","System.Diagnostics.ProcessStartInfo","22/10/2024 10:14:46 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","185200640","2272222900224","False",,,,"10760192","10760192",,
"msedge","1","306","2306966425600","38232064","12918784","16752","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0.390625","130.0.2849.46","130.0.2849.46","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"4728","Microsoft.Win32.SafeHandles.SafeProcessHandle","306","6152",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16752","16752","12918784","12918784","818968","818968","14233600","14233600","38834176","38834176","631910400","2307029348352","True","Normal","12918784","12918784","00:00:00.2812500","msedge","3","True","1","System.Diagnostics.ProcessStartInfo","22/10/2024 10:14:46 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3906250","00:00:00.1093750","568987648","2306966425600","False",,,,"38232064","38232064",,
